time(s)	cellId	rnti	lcid	packetSize
0.881	2	2	4	1282
0.881	2	1	4	1282
0.882	2	2	4	1282
0.882	2	1	4	1282
0.883	2	2	4	1282
0.883	2	1	4	1282
0.884	2	2	4	1282
0.884	2	1	4	1282
0.885	2	2	4	1282
0.885	2	1	4	1282
0.886	2	2	4	1282
0.886	2	1	4	1282
0.887	2	2	4	1282
0.887	2	1	4	1282
0.888	2	2	4	1282
0.888	2	1	4	1282
0.889	2	2	4	1282
0.889	2	1	4	1282
0.89	2	2	4	1282
0.89	2	1	4	1282
0.891	2	2	4	1282
0.891	2	1	4	1282
0.892	2	2	4	1282
0.892	2	1	4	1282
0.893	2	2	4	1282
0.893	2	1	4	1282
0.894	2	2	4	1282
0.894	2	1	4	1282
0.895	2	2	4	1282
0.895	2	1	4	1282
0.896	2	2	4	1282
0.896	2	1	4	1282
0.897	2	2	4	1282
0.897	2	1	4	1282
0.898	2	2	4	1282
0.898	2	1	4	1282
0.899	2	2	4	1282
0.899	2	1	4	1282
0.9	2	2	4	1282
0.9	2	1	4	1282
0.901	2	2	4	1282
0.901	2	1	4	1282
0.902	2	2	4	1282
0.902	2	1	4	1282
0.903	2	2	4	1282
0.903	2	1	4	1282
0.904	2	2	4	1282
0.904	2	1	4	1282
0.905	2	2	4	1282
0.905	2	1	4	1282
0.906	2	2	4	1282
0.906	2	1	4	1282
0.907	2	2	4	1282
0.907	2	1	4	1282
0.908	2	2	4	1282
0.908	2	1	4	1282
0.909	2	2	4	1282
0.909	2	1	4	1282
0.91	2	2	4	1282
0.91	2	1	4	1282
0.911	2	2	4	1282
0.911	2	1	4	1282
0.912	2	2	4	1282
0.912	2	1	4	1282
0.913	2	2	4	1282
0.913	2	1	4	1282
0.914	2	2	4	1282
0.914	2	1	4	1282
0.915	2	2	4	1282
0.915	2	1	4	1282
0.916	2	2	4	1282
0.916	2	1	4	1282
0.917	2	2	4	1282
0.917	2	1	4	1282
0.918	2	2	4	1282
0.918	2	1	4	1282
0.919	2	2	4	1282
0.919	2	1	4	1282
0.92	2	2	4	1282
0.92	2	1	4	1282
0.921	2	2	4	1282
0.921	2	1	4	1282
0.922	2	2	4	1282
0.922	2	1	4	1282
0.923	2	2	4	1282
0.923	2	1	4	1282
0.924	2	2	4	1282
0.924	2	1	4	1282
0.925	2	2	4	1282
0.925	2	1	4	1282
0.926	2	2	4	1282
0.926	2	1	4	1282
0.927	2	2	4	1282
0.927	2	1	4	1282
0.928	2	2	4	1282
0.928	2	1	4	1282
0.929	2	2	4	1282
0.929	2	1	4	1282
0.93	2	2	4	1282
0.93	2	1	4	1282
0.931	2	2	4	1282
0.931	2	1	4	1282
0.932	2	2	4	1282
0.932	2	1	4	1282
0.933	2	2	4	1282
0.933	2	1	4	1282
