time(s)	cellId	rnti	lcid	packetSize
1.249	2	1	4	8247
1.249	2	1	5	8247
1.252	2	1	4	8934
1.252	2	1	5	8934
1.253	2	1	4	8934
1.253	2	1	5	8934
1.254	2	1	4	8247
1.254	2	1	5	8247
1.257	2	1	4	8934
1.257	2	1	5	8934
1.258	2	1	4	8934
1.258	2	1	5	8934
1.259	2	1	4	8247
1.259	2	1	5	8247
1.262	2	1	4	8934
1.262	2	1	5	8934
1.263	2	1	4	8934
1.263	2	1	5	8934
1.264	2	1	4	8247
1.264	2	1	5	8247
1.267	2	1	4	8934
1.267	2	1	5	8934
1.268	2	1	4	8934
1.268	2	1	5	8934
1.269	2	1	4	8247
1.269	2	1	5	8247
1.272	2	1	4	8934
1.272	2	1	5	8934
1.273	2	1	4	8934
1.273	2	1	5	8934
1.274	2	1	4	8247
1.274	2	1	5	8247
1.277	2	1	4	8934
1.277	2	1	5	8934
1.278	2	1	4	8934
1.278	2	1	5	8934
1.279	2	1	4	8247
1.279	2	1	5	8247
1.282	2	1	4	8934
1.282	2	1	5	8934
1.283	2	1	4	8934
1.283	2	1	5	8934
1.284	2	1	4	8247
1.284	2	1	5	8247
1.287	2	1	4	8934
1.287	2	1	5	8934
1.288	2	1	4	8934
1.288	2	1	5	8934
1.289	2	1	4	8247
1.289	2	1	5	8247
1.292	2	1	4	8934
