% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.914	1	0	2	1	91	8	0	0	6	15	1	0	28	2404
0.914	1	0	1	2	91	8	0	6	7	14	1	0	28	2806
0.918	1	0	2	1	92	2	0	0	6	14	1	0	28	2404
0.918	1	0	1	2	92	2	0	6	7	15	1	0	28	2806
0.919	1	0	2	1	92	3	0	0	6	15	1	0	28	2404
0.919	1	0	1	2	92	3	0	6	7	14	1	0	28	2806
0.923	1	0	2	1	92	7	0	0	6	14	1	0	28	2404
0.923	1	0	1	2	92	7	0	6	7	15	1	0	28	2806
0.924	1	0	2	1	92	8	0	0	6	15	1	0	28	2404
0.924	1	0	1	2	92	8	0	6	7	14	1	0	28	2806
0.928	1	0	2	1	93	2	0	0	6	14	1	0	28	2404
0.928	1	0	1	2	93	2	0	6	7	15	1	0	28	2806
0.929	1	0	2	1	93	3	0	0	6	15	1	0	28	2404
0.929	1	0	1	2	93	3	0	6	7	14	1	0	28	2806
0.933	1	0	2	1	93	7	0	0	6	14	1	0	28	2404
