Time	CellId	RNTI	BWPId	SINR(dB)
0.881929	2	1	0	40.8507
0.881929	4	1	2	41.2644
0.885	2	1	0	40.8507
0.885	4	1	2	41.2644
0.886	2	1	0	40.8507
0.886	4	1	2	41.2644
0.886929	2	1	0	40.8507
0.886929	4	1	2	41.2644
0.89	2	1	0	40.8507
0.89	4	1	2	41.2644
0.891	2	1	0	40.8507
0.891	4	1	2	41.2644
0.891929	2	1	0	40.8507
0.891929	4	1	2	41.2644
0.895	2	1	0	40.8507
0.895	4	1	2	41.2644
0.896	2	1	0	40.8507
0.896	4	1	2	41.2644
0.896929	2	1	0	40.8507
0.896929	4	1	2	41.2644
0.9	2	1	0	40.8507
0.9	4	1	2	41.2644
0.901	2	1	0	40.8507
0.901	4	1	2	41.2644
0.901929	2	1	0	40.8507
0.901929	4	1	2	41.2644
0.905	2	1	0	40.8507
0.905	4	1	2	41.2644
0.906	2	1	0	40.8507
0.906	4	1	2	41.2644
0.906929	2	1	0	40.8507
0.906929	4	1	2	41.2644
0.91	2	1	0	40.8507
0.91	4	1	2	41.2644
0.911	2	1	0	40.8507
0.911	4	1	2	41.2644
0.911929	2	1	0	40.8507
0.911929	4	1	2	41.2644
0.915	2	1	0	40.8507
0.915	4	1	2	41.2644
0.916	2	1	0	40.8507
0.916	4	1	2	41.2644
0.916929	2	1	0	40.8507
0.916929	4	1	2	41.2644
0.92	2	1	0	40.8507
0.92	4	1	2	41.2644
0.921	2	1	0	40.8507
0.921	4	1	2	41.2644
0.921929	2	1	0	40.8507
0.921929	4	1	2	41.2644
0.925	2	1	0	40.8507
0.925	4	1	2	41.2644
0.926	2	1	0	40.8507
0.926	4	1	2	41.2644
0.926929	2	1	0	40.8507
0.926929	4	1	2	41.2644
0.93	2	1	0	40.8507
0.93	4	1	2	41.2644
0.931	2	1	0	40.8507
0.931	4	1	2	41.2644
0.931929	2	1	0	40.8507
0.931929	4	1	2	41.2644
0.935	2	1	0	40.8507
0.935	4	1	2	41.2644
0.936	2	1	0	40.8507
0.936	4	1	2	41.2644
0.936929	2	1	0	40.8507
0.936929	4	1	2	41.2644
0.94	2	1	0	40.8507
0.94	4	1	2	41.2644
0.941	2	1	0	40.8507
0.941	4	1	2	41.2644
0.941929	2	1	0	40.8507
0.941929	4	1	2	41.2644
0.945	2	1	0	40.8507
0.945	4	1	2	41.2644
0.946	2	1	0	40.8507
0.946	4	1	2	41.2644
0.946929	2	1	0	40.8507
0.946929	4	1	2	41.2644
0.95	2	1	0	40.8507
0.95	4	1	2	41.2644
0.951	2	1	0	40.8507
0.951	4	1	2	41.2644
0.951929	2	1	0	40.8507
0.951929	4	1	2	41.2644
0.955	2	1	0	40.8507
0.955	4	1	2	41.2644
0.956	2	1	0	40.8507
0.956	4	1	2	41.2644
0.956929	2	1	0	40.8507
0.956929	4	1	2	41.2644
0.96	2	1	0	40.8507
0.96	4	1	2	41.2644
0.961	2	1	0	40.8507
0.961	4	1	2	41.2644
0.961929	2	1	0	40.8507
0.961929	4	1	2	41.2644
0.965	2	1	0	40.8507
0.965	4	1	2	41.2644
0.966	2	1	0	40.8507
0.966	4	1	2	41.2644
0.966929	2	1	0	40.8507
0.966929	4	1	2	41.2644
0.97	2	1	0	40.8507
0.97	4	1	2	41.2644
0.971	2	1	0	40.8507
0.971	4	1	2	41.2644
0.971929	2	1	0	40.8507
0.971929	4	1	2	41.2644
0.975	2	1	0	40.8507
0.975	4	1	2	41.2644
0.976	2	1	0	40.8507
0.976	4	1	2	41.2644
0.976929	2	1	0	40.8507
0.976929	4	1	2	41.2644
0.98	2	1	0	40.8507
0.98	4	1	2	41.2644
0.981	2	1	0	40.8507
0.981	4	1	2	41.2644
0.981929	2	1	0	40.8507
0.981929	4	1	2	41.2644
0.985	2	1	0	40.8507
0.985	4	1	2	41.2644
0.986	2	1	0	40.8507
0.986	4	1	2	41.2644
0.986929	2	1	0	40.8507
0.986929	4	1	2	41.2644
0.99	2	1	0	40.8507
0.99	4	1	2	41.2644
0.991	2	1	0	40.8507
0.991	4	1	2	41.2644
0.991929	2	1	0	40.8507
0.991929	4	1	2	41.2644
0.995	2	1	0	40.8507
0.995	4	1	2	41.2644
0.996	2	1	0	40.8507
0.996	4	1	2	41.2644
0.996929	2	1	0	40.8507
0.996929	4	1	2	41.2644
1	2	1	0	40.8507
1	4	1	2	41.2644
1.001	2	1	0	40.8507
1.001	4	1	2	41.2644
1.00193	2	1	0	40.8507
1.00193	4	1	2	41.2644
1.005	2	1	0	40.8507
1.005	4	1	2	41.2644
1.006	2	1	0	40.8507
1.006	4	1	2	41.2644
1.00693	2	1	0	40.8507
1.00693	4	1	2	41.2644
1.01	2	1	0	40.8507
1.01	4	1	2	41.2644
1.011	2	1	0	40.8507
1.011	4	1	2	41.2644
1.01193	2	1	0	40.8507
1.01193	4	1	2	41.2644
1.015	2	1	0	40.8507
1.015	4	1	2	41.2644
1.016	2	1	0	40.8507
1.016	4	1	2	41.2644
1.01693	2	1	0	40.8507
1.01693	4	1	2	41.2644
1.02	2	1	0	40.8507
1.02	4	1	2	41.2644
1.021	2	1	0	40.8507
1.021	4	1	2	41.2644
1.02193	2	1	0	40.8507
1.02193	4	1	2	41.2644
1.025	2	1	0	40.8507
1.025	4	1	2	41.2644
1.026	2	1	0	40.8507
1.026	4	1	2	41.2644
1.02693	2	1	0	40.8507
1.02693	4	1	2	41.2644
1.03	2	1	0	40.8507
1.03	4	1	2	41.2644
1.031	2	1	0	40.8507
1.031	4	1	2	41.2644
1.03193	2	1	0	40.8507
1.03193	4	1	2	41.2644
1.035	2	1	0	40.8507
1.035	4	1	2	41.2644
1.036	2	1	0	40.8507
1.036	4	1	2	41.2644
1.03693	2	1	0	40.8507
1.03693	4	1	2	41.2644
1.04	2	1	0	40.8507
1.04	4	1	2	41.2644
1.041	2	1	0	40.8507
1.041	4	1	2	41.2644
1.04193	2	1	0	40.8507
1.04193	4	1	2	41.2644
1.045	2	1	0	40.8507
1.045	4	1	2	41.2644
1.046	2	1	0	40.8507
1.046	4	1	2	41.2644
1.04693	2	1	0	40.8507
1.04693	4	1	2	41.2644
1.05	2	1	0	40.8507
1.05	4	1	2	41.2644
1.051	2	1	0	40.8507
1.051	4	1	2	41.2644
1.05193	2	1	0	40.8507
1.05193	4	1	2	41.2644
1.055	2	1	0	40.8507
1.055	4	1	2	41.2644
1.056	2	1	0	40.8507
1.056	4	1	2	41.2644
1.05693	2	1	0	40.8507
1.05693	4	1	2	41.2644
1.06	2	1	0	40.8507
1.06	4	1	2	41.2644
1.061	2	1	0	40.8507
1.061	4	1	2	41.2644
1.06193	2	1	0	40.8507
1.06193	4	1	2	41.2644
1.065	2	1	0	40.8507
1.065	4	1	2	41.2644
1.066	2	1	0	40.8507
1.066	4	1	2	41.2644
1.06693	2	1	0	40.8507
1.06693	4	1	2	41.2644
1.07	2	1	0	40.8507
1.07	4	1	2	41.2644
1.071	2	1	0	40.8507
1.071	4	1	2	41.2644
1.07193	2	1	0	40.8507
1.07193	4	1	2	41.2644
1.075	2	1	0	40.8507
1.075	4	1	2	41.2644
1.076	2	1	0	40.8507
1.076	4	1	2	41.2644
1.07693	2	1	0	40.8507
1.07693	4	1	2	41.2644
1.08	2	1	0	40.8507
1.08	4	1	2	41.2644
1.081	2	1	0	40.8507
1.081	4	1	2	41.2644
1.08193	2	1	0	40.8507
1.08193	4	1	2	41.2644
1.085	2	1	0	40.8507
1.085	4	1	2	41.2644
1.086	2	1	0	40.8507
1.086	4	1	2	41.2644
1.08693	2	1	0	40.8507
1.08693	4	1	2	41.2644
1.09	2	1	0	40.8507
1.09	4	1	2	41.2644
1.091	2	1	0	40.8507
1.091	4	1	2	41.2644
1.09193	2	1	0	40.8507
1.09193	4	1	2	41.2644
1.095	2	1	0	40.8507
1.095	4	1	2	41.2644
1.096	2	1	0	40.8507
1.096	4	1	2	41.2644
1.09693	2	1	0	40.8507
1.09693	4	1	2	41.2644
1.1	2	1	0	40.8507
1.1	4	1	2	41.2644
